#,Date Time,Voltage,Current,Rain,Wind Speed,Gust Speed,Wind Direction,Temp,RH,Solar Radiation
183,12-02-21 19:51,-0.1988,0,0,0,0,314.5,-5.729,62.1,0.6
184,12-02-21 20:01,-0.1988,0,0,0,0,306.1,-5.636,63.7,0.6
185,12-02-21 20:11,-0.1988,0,0,0,0,290.6,-5.979,64.4,0.6
186,12-02-21 20:21,-0.1988,0,0,0,0,290.6,-6.136,66.5,0.6
187,12-02-21 20:31,-0.1988,0,0,0,0,290.6,-6.199,67.8,0.6
188,12-02-21 20:41,-0.1988,0,0,0,0,290.6,-5.885,68.9,0.6
189,12-02-21 20:51,-0.1988,0,0,0,0,287.8,-5.48,69.5,0.6
190,12-02-21 21:01,-0.1988,0,0,0,0,285,-5.667,69.6,0.6
191,12-02-21 21:11,-0.1988,0,0,0,0,285,-5.636,70.3,0.6
192,12-02-21 21:21,-0.1988,0,0,0,0,285,-5.76,70.8,0.6
193,12-02-21 21:31,-0.1988,0,0,0,0,285,-6.325,71.6,0.6
194,12-02-21 21:41,-0.1988,0,0,0,0,285,-6.42,73.4,0.6
195,12-02-21 21:51,-0.1988,0,0,0,0,285,-6.674,74.6,0.6
196,12-02-21 22:01,-0.1988,0,0,0,0,285,-6.357,75.8,0.6
197,12-02-21 22:11,-0.1988,0,0,0,0,285,-6.294,75.2,0.6
198,12-02-21 22:21,-0.1988,0,0,0,0,285,-6.42,76.1,0.6
199,12-02-21 22:31,-0.1988,0,0,0,0,285,-6.452,76.5,0.6
200,12-02-21 22:41,-0.1988,0,0,0,0,285,-6.61,77.5,0.6
201,12-02-21 22:51,-0.1988,0,0,0,0,285,-6.706,78.1,0.6
202,12-02-21 23:01,-0.1988,0,0,0,0,285,-6.706,78.3,0.6
203,12-02-21 23:11,-0.1988,0,0,0,0,285,-6.483,78.9,0.6
204,12-02-21 23:21,-0.1988,0,0,0,0,285,-6.515,78.6,0.6
205,12-02-21 23:31,-0.1988,0,0,0,0,285,-6.802,79,0.6
206,12-02-21 23:41,-0.1988,0,0,0,0,285,-7.026,79.7,0.6
207,12-02-21 23:51,-0.1988,0,0,0,0,285,-6.994,80.6,0.6
208,12-03-21 00:01,-0.1988,0,0,0,0,285,-7.09,80.8,0.6
209,12-03-21 00:11,-0.1988,0,0,0,0,285,-7.058,81.1,0.6
210,12-03-21 00:21,-0.1988,0,0,0,0,285,-6.738,81.7,0.6
211,12-03-21 00:31,-0.1988,0,0,0,0,285,-6.642,81,0.6
212,12-03-21 00:41,-0.1988,0,0,0,0,285,-6.706,80.9,0.6
213,12-03-21 00:51,-0.1988,0,0,0,0,285,-6.77,80.8,0.6
214,12-03-21 01:01,-0.1988,0,0,0,0,285,-7.219,81.4,0.6
215,12-03-21 01:11,-0.1988,0,0,0,0,285,-7.804,82.1,0.6
216,12-03-21 01:21,-0.1988,0,0,0,0,285,-8,83.2,0.6
217,12-03-21 01:31,-0.1988,0,0,0,0,285,-8.231,84.2,0.6
218,12-03-21 01:41,-0.1988,0,0,0,0,285,-8.53,84.7,0.6
219,12-03-21 01:51,-0.1988,0,0,0,0,285,-8.63,85.3,0.6
220,12-03-21 02:01,-0.1988,0,0,0,0,285,-8.864,86,0.6
221,12-03-21 02:11,-0.1988,0,0,0,0,285,-8.663,86.8,0.6
222,12-03-21 02:21,-0.1988,0,0,0,0,283.6,-7.902,87,0.6
223,12-03-21 02:31,-0.1988,0,0,0,0,280.8,-7.836,86.3,0.6
224,12-03-21 02:41,-0.1988,0,0,0,0,352.4,-8.297,86,0.6
225,12-03-21 02:51,-0.1988,0,0,0,0,353.8,-8.297,86.9,0.6
226,12-03-21 03:01,-0.1988,0,0,0,0,353.8,-8.53,87.2,0.6
227,12-03-21 03:11,-0.1988,0,0,0,0,353.8,-8.663,87.4,0.6
228,12-03-21 03:21,-0.1988,0,0,0,0,353.8,-8.264,88.2,0.6
229,12-03-21 03:31,-0.1988,0,0,0,0,353.8,-7.968,88.4,0.6
230,12-03-21 03:41,-0.1988,0,0,0,0,353.8,-7.608,88.8,0.6
231,12-03-21 03:51,-0.1988,0,0,0,0,353.8,-7.608,88.8,0.6
232,12-03-21 04:01,-0.1988,0,0,0,0,353.8,-7.836,88.8,0.6
233,12-03-21 04:11,-0.1988,0,0,0,0,353.8,-8.264,88.9,0.6
234,12-03-21 04:21,-0.1988,0,0,0,0,353.8,-8.663,89.3,0.6
235,12-03-21 04:31,-0.1988,0,0,0,0,353.8,-9.1,89.6,0.6
236,12-03-21 04:41,-0.1988,0,0,0,0,353.8,-9.542,89.6,0.6
237,12-03-21 04:51,-0.1988,0,0,0,0,353.8,-9.713,89.6,0.6
238,12-03-21 05:01,-0.1988,0,0,0,0,353.8,-9.066,89.9,0.6
239,12-03-21 05:11,-0.1988,0,0,0,0,353.8,-8.663,90.1,0.6
