Sample ID,δ2HVSMOW (‰),δ18OVSMOW (‰),Comments,2H Analysis #,18O Analysis #,Sample Substrate,Date,Block,Treatment,TreeNumb,Count,Replicates
B3T2_16_721,-136.4,-16.53,,PD-86653,PD-86250,tree,2021-07-21,3,2,16,,
B3T2_16_612,-131.1,-17.04,,PD-85988,PD-85604,tree,2021-06-12,3,2,16,1,Y
B3T2_16_612,-130.9,-16.85,replicate,PD-85989,PD-85605,tree,2021-06-12,3,2,16,2,Y
B3T2_16_2_911,-144.9,-18.21,,PD-86341,PD-85862,tree,2021-09-11,3,2,16,2,Y
B3T2_16_2_911,-145.2,-18.3,replicate,PD-86342,PD-85863,tree,2021-09-11,3,2,16,3,Y
B3T2_16_107,-106.5,-13.18,,PD-86066,PD-85683,tree,2021-10-07,3,2,16,1,Y
B3T2_16_107,-107,-13.17,replicate,PD-86067,PD-85684,tree,2021-10-07,3,2,16,2,Y
B3T2_16_1_911,-120.2,-9.42,,PD-85977,PD-85593,tree,2021-09-11,3,2,16,1,Y
B3T1_75_911,-130.1,-16.35,,PD-86328,PD-85849,tree,2021-09-11,3,1,75,1,Y
B3T1_75_911,-129.6,-16.39,replicate,PD-86329,PD-85850,tree,2021-09-11,3,1,75,2,Y
B3T1_75_721,-124.9,-15.22,,PD-86354,PD-85875,tree,2021-07-21,3,1,75,,
B3T1_75_612,-135,-17.31,,PD-86059,PD-85676,tree,2021-06-12,3,1,75,,
B3T1_75_107,-100.3,-12.74,,PD-86045,PD-85662,tree,2021-10-07,3,1,75,,
B3T1_70_911,-141.7,-18.23,,PD-86344,PD-85865,tree,2021-09-11,3,1,70,,
B3T1_70_721,-128.7,-15.57,,PD-86100,PD-85717,tree,2021-07-21,3,1,70,,
B3T1_70_612,-127.6,-15.6,,PD-85990,PD-85606,tree,2021-06-12,3,1,70,,
B3T1_70_107,-103.8,-13.4,,PD-86041,PD-85658,tree,2021-10-07,3,1,70,,
B3T1_62_911,-130.5,-16.76,,PD-86340,PD-85861,tree,2021-09-11,3,1,62,,
B3T1_62_721,-130.8,-16.76,,PD-86101,PD-85718,tree,2021-07-21,3,1,62,,
B3T1_62_612,-130.2,-17.51,,PD-85991,PD-85607,tree,2021-06-12,3,1,62,,
B3T1_62_107,-99,-13.12,,PD-86054,PD-85671,tree,2021-10-07,3,1,62,,
B3C_82_911,-127.1,-15.32,,PD-86331,PD-85852,tree,2021-09-11,3,C,82,,
B3C_82_721,-122,-14.89,,PD-86099,PD-85716,tree,2021-07-21,3,C,82,,
B3C_82_612,-136.1,-18.69,,PD-85980,PD-85596,tree,2021-06-12,3,C,82,,
B3C_78_911,-131.3,-16.34,,PD-86339,PD-85860,tree,2021-09-11,3,C,78,,
B3C_78_721,-120.2,-14.35,,PD-86087,PD-85704,tree,2021-07-21,3,C,78,,
B3C_78_612,-134.4,-16.63,,PD-86078,PD-85695,tree,2021-06-12,3,C,78,,
